Transaction ID,Customer ID,Product,Category,Region,Sales Amount,Quantity,Date,Payment Method
T00001,C4449,Laptop,Accessories,West,1919.46,9,2023-04-10,UPI
T00002,C8912,Laptop,Accessories,South,794.4,10,2023-01-17,Credit Card
T00003,C8133,Mobile Phone,Electronics,South,1273.98,2,2023-08-10,Debit Card
T00004,C3677,Desktop,Electronics,West,859.47,4,2024-06-08,Online Payment
T00005,C4763,Tablet,Accessories,South,1124.79,5,2024-07-26,Online Payment
T00006,C1490,Mobile Phone,Accessories,South,951.18,2,2023-07-06,Cash
T00007,C8537,Printer,Electronics,North,775.89,1,2024-11-08,Debit Card
T00008,C7584,Headphones,Accessories,South,270.03,10,2023-01-20,Online Payment
T00009,C2558,Mobile Phone,Office Equipment,North,809.06,10,2022-12-15,Credit Card
T00010,C1401,Headphones,Electronics,North,1674.71,8,2023-11-04,Credit Card
T00011,C9079,Monitor,Accessories,South,1857.08,10,2024-07-08,Debit Card
T00012,C9495,Headphones,Electronics,West,74.15,2,2023-10-05,Cash
T00013,C9113,Camera,Office Equipment,South,353.55,9,2024-11-20,Online Payment
T00014,C8396,Tablet,Electronics,West,1598.65,10,2023-12-10,Debit Card
T00015,C7529,Camera,Electronics,North,754.18,7,2024-09-03,Cash
T00016,C2119,Printer,Electronics,South,1739.06,6,2024-07-16,Cash
T00017,C1413,Monitor,Accessories,East,263.27,7,2024-04-05,Online Payment
T00018,C8991,Printer,Accessories,South,1311.7,7,2023-05-30,Debit Card
T00019,C1661,Keyboard,Electronics,East,1790.96,1,2024-12-04,Debit Card
T00020,C1723,Smartwatch,Office Equipment,North,1604.8,6,2023-08-24,Online Payment
T00021,C1560,Camera,Office Equipment,North,1584.56,6,2024-03-17,Debit Card
T00022,C1225,Camera,Electronics,North,318.71,9,2023-01-19,Cash
T00023,C5580,Smartwatch,Electronics,West,1925.47,2,2023-08-02,Cash
T00024,C5015,Smartwatch,Office Equipment,South,1767.03,9,2023-11-24,Credit Card
T00025,C7351,Camera,Office Equipment,North,210.79,1,2024-03-16,Online Payment
T00026,C3689,Mobile Phone,Electronics,South,220.76,9,2023-03-01,Cash
T00027,C4796,Keyboard,Office Equipment,North,1628.27,1,2024-08-02,Cash
T00028,C6080,Printer,Office Equipment,West,744.18,6,2024-04-08,Online Payment
T00029,C7779,Smartwatch,Accessories,North,514.21,10,2024-01-18,Debit Card
T00030,C7338,Smartwatch,Office Equipment,West,70.18,2,2023-09-24,Online Payment
T00031,C4739,Headphones,Electronics,South,1988.12,6,2024-09-25,Debit Card
T00032,C2909,Mobile Phone,Electronics,South,1526.12,3,2023-06-25,Cash
T00033,C8838,Mobile Phone,Electronics,East,807.09,4,2024-06-09,Credit Card
T00034,C6031,Desktop,Accessories,North,1598.09,8,2023-11-25,Online Payment
T00035,C3791,Printer,Office Equipment,West,706.9,5,2024-10-24,Credit Card
T00036,C6176,Mobile Phone,Electronics,South,808.1,6,2024-02-12,Credit Card
T00037,C6669,Printer,Accessories,North,1223.46,6,2023-11-19,Credit Card
T00038,C5117,Desktop,Electronics,East,86.84,6,2024-03-16,Cash
T00039,C2002,Headphones,Office Equipment,South,985.34,6,2023-10-18,Debit Card
T00040,C7015,Desktop,Office Equipment,South,148.77,7,2024-09-29,Debit Card
T00041,C2431,Headphones,Electronics,North,1308.91,3,2023-06-26,Debit Card
T00042,C2175,Keyboard,Electronics,South,810.14,9,2023-03-17,Credit Card
T00043,C4227,Monitor,Electronics,South,316.97,6,2023-02-07,Debit Card
T00044,C8870,Laptop,Office Equipment,South,770.39,4,2023-11-09,Credit Card
T00045,C1006,Monitor,Electronics,West,1840.25,3,2024-02-26,UPI
T00046,C4660,Camera,Office Equipment,South,1597.47,3,2023-01-29,Credit Card
T00047,C1288,Monitor,Office Equipment,South,1082.34,7,2024-10-07,UPI
T00048,C7329,Printer,Accessories,North,1280.55,6,2024-06-03,Credit Card
T00049,C2293,Laptop,Accessories,East,223.9,10,2023-04-27,Cash
T00050,C4935,Keyboard,Office Equipment,South,448.53,9,2023-08-22,Online Payment
T00051,C4434,Smartwatch,Accessories,West,535.22,9,2023-09-02,Cash
T00052,C1028,Camera,Office Equipment,West,1405.96,10,2023-10-19,Debit Card
T00053,C6527,Printer,Accessories,North,279.67,6,2024-07-03,Cash
T00054,C8843,Tablet,Office Equipment,South,1566.12,3,2023-10-02,Cash
T00055,C1718,Monitor,Electronics,East,301.81,3,2023-01-30,UPI
T00056,C9759,Mobile Phone,Office Equipment,West,1455.57,10,2023-01-18,Credit Card
T00057,C2725,Camera,Electronics,South,922.87,1,2023-03-13,Debit Card
T00058,C1152,Keyboard,Electronics,North,1586.35,6,2024-04-08,Cash
T00059,C6854,Tablet,Electronics,South,1979.13,5,2024-05-28,Credit Card
T00060,C6396,Mobile Phone,Accessories,North,152.56,3,2024-03-03,Credit Card
T00061,C7108,Headphones,Electronics,West,1913.09,1,2024-05-23,UPI
T00062,C2769,Smartwatch,Accessories,North,853.42,5,2023-12-07,Cash
T00063,C2766,Headphones,Accessories,East,492.38,10,2023-06-09,Online Payment
T00064,C8712,Keyboard,Office Equipment,West,202.77,2,2024-01-22,Credit Card
T00065,C7989,Headphones,Electronics,North,529.03,3,2023-11-02,Debit Card
T00066,C9321,Laptop,Electronics,North,1752.13,3,2023-05-25,Credit Card
T00067,C9288,Mobile Phone,Electronics,South,1572.84,2,2022-12-16,Debit Card
T00068,C9388,Monitor,Accessories,East,1045.04,3,2023-05-13,UPI
T00069,C9787,Monitor,Electronics,North,247.14,1,2023-05-20,Debit Card
T00070,C9740,Printer,Accessories,West,1549.86,5,2024-01-20,Online Payment
T00071,C9742,Desktop,Accessories,West,1495.04,2,2023-05-14,Credit Card
T00072,C9577,Keyboard,Accessories,South,1107.77,4,2023-03-30,Cash
T00073,C7864,Mobile Phone,Accessories,North,903.0,1,2023-04-20,UPI
T00074,C5524,Monitor,Electronics,South,924.6,7,2024-10-24,Cash
T00075,C1840,Headphones,Electronics,South,1292.62,9,2023-01-11,Debit Card
T00076,C7017,Tablet,Electronics,East,113.1,2,2023-10-31,UPI
T00077,C1496,Headphones,Electronics,North,1967.22,4,2024-11-22,Credit Card
T00078,C9867,Headphones,Office Equipment,West,564.3,10,2024-05-13,Online Payment
T00079,C7636,Desktop,Office Equipment,West,258.6,3,2023-06-22,Online Payment
